Date,District,Market,Fruit,Variety,Grade,CaseType,Min Price,Max Price,Avg Price
24-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
25-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
25-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
26-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
26-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
27-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
27-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
28-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,650,750,700
28-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
29-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
29-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
30-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,650,750,700
30-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
01-12-2018,Shopian,Aglar,Apple,Delicious,A,FC,650,750,700
01-12-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
02-12-2018,Shopian,Aglar,Apple,Delicious,A,,,,
02-12-2018,Shopian,Aglar,Apple,Delicious,B,,,,
03-12-2018,Shopian,Aglar,Apple,Delicious,A,FC,650,750,700
03-12-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
04-12-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
04-12-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
05-12-2018,Shopian,Aglar,Apple,Delicious,A,,,,
05-12-2018,Shopian,Aglar,Apple,Delicious,B,,,,
06-12-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
06-12-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
07-12-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
07-12-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
08-12-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
08-12-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
09-12-2018,Shopian,Aglar,Apple,Delicious,A,,,,
09-12-2018,Shopian,Aglar,Apple,Delicious,B,,,,
10-12-2018,Shopian,Aglar,Apple,Delicious,A,,,,
10-12-2018,Shopian,Aglar,Apple,Delicious,B,,,,
11-12-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
