Date,District,Market,Fruit,Grade,Variety,Min Price,Max Price,Avg Price
8/11/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/11/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/12/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/12/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/12/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/13/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/13/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/13/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/14/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/14/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/14/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/15/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/15/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/15/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/16/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/16/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/16/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/17/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/17/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/17/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/18/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/18/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/18/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/19/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/19/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/19/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/20/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/20/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/20/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/21/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/21/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/21/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/22/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/22/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/22/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/23/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/23/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/23/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/24/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/24/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/24/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/25/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/25/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/25/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/26/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/26/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/26/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
8/27/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
8/27/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
8/27/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
