Date,District,Market,Fruit,Variety,Grade,Min Price,Max Price,Avg Price
6/10/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,70,80,75
6/10/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,50,60,55
6/10/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
6/11/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,70,80,75
6/11/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,40,50,45
6/11/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
6/12/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
6/12/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
6/12/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
6/13/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
6/13/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
6/13/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
6/14/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
6/14/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
6/14/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
6/15/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
6/15/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,70,80,75
6/15/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,70,60
6/16/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
6/16/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,70,80,75
6/16/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,70,60
6/17/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
6/17/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,70,80,75
6/17/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,70,60
6/18/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,65,75,70
6/18/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,65,60,50
6/18/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/19/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,65,75,70
6/19/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,65,60,50
6/19/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/20/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,65,75,70
6/20/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,65,60,50
6/20/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/21/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,65,75,70
6/21/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,65,60,50
6/21/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/22/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,65,75,70
6/22/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,65,60,50
6/22/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/23/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,65,75,70
6/23/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,65,60,50
6/23/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
6/24/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,65,75,70
6/24/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,65,60,50
6/24/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,50,60,55
